2509|C
1238|B
2848|B
923|D
3227|C
611|B
3458|B
2684|B
2832|B
3392|B
1224|C
2090|B
2617|C
1961|B
24|B
1114|B
2008|B
591|C
1446|B
623|C
1798|C
3402|C
3361|B
135|C
2838|B
3891|B
1293|C
2627|B
174|B
2548|B
3811|D
2458|C
1888|B
2950|C
1662|B
365|B
1257|B
1650|B
1771|B
2746|B
2970|B
819|B
323|B
1952|D
346|B
2778|C
3373|B
302|B
84|B
1329|B
95|C
2366|B
3551|B
1526|B
1765|C
3038|B
3566|B
1992|C
2824|C
2210|B
1982|B
3955|C
1830|B
1543|C
230|C
1290|
710|C
3859|B
1884|C
466|C
1475|B
1425|A
3641|C
55|D
2373|C
31|B
1253|B
1902|C
659|B
1449|B
3005|B
1761|B
162|C
4037|C
3926|C
664|B
2668|B
3254|B
1800|B
716|B
1574|B
3375|D
2850|B
1553|B
1910|B
3877|B
1382|B
2843|B
2515|B
3267|B
2752|B
3434|B
2674|B
2140|D
2237|B
3923|B
3399|C
32|C
2881|B
498|B
2990|B
2176|D
423|B
579|B
79|B
228|B
1968|B
823|C
2874|B
2804|B
2736|C
1413|B
2823|B
2409|D
896|C
1874|B
2646|B
3766|C
81|B
539|B
1603|B
2852|D
882|B
1886|B
1038|C
3471|B
225|C
2853|C
2048|B
2447|B
2174|B
1467|B
3746|B
1|B
1187|C
3843|C
2453|B
2887|B
2558|C
4092|C
1217|C
2059|B
915|B
1925|B
206|D
159|D
3324|B
88|B
309|B
118|C
321|B
3484|C
2846|B
42|C
2681|B
2477|B
1342|C
2006|B
1081|C
2982|C
2604|C
895|B
1699|C
3487|B
2594|B
1867|A
2341|B
1155|B
2829|C
4099|B
2588|B
3705|C
766|B
799|C
2434|B
1599|A
3318|B
3334|C
2914|B
1993|B
1079|B
1080|B
2038|B
1694|C
112|B
287|B
3725|C
3872|B
2278|C
3583|B
2232|B
251|B
2442|B
2430|B
1558|B
2791|B
3184|C
829|C
3911|B
2412|B
383|B
2740|C
695|B
3483|B
2631|B
250|B
472|B
3820|C
1501|B
3824|B
3055|B
3128|B
2468|B
3383|B
1400|B
1000|B
2405|B
348|D
2622|B
872|B
3931|B
3972|B
3615|B
23|B
1628|D
3741|D
1737|C
3935|B
278|C
2585|B
1594|C
2162|C
3220|C
1611|B
4065|B
3598|B
719|B
2997|B
1631|B
1527|D
3565|B
3603|B
1310|D
213|B
1041|B
2342|B
2688|C
3599|B
515|B
2992|B
1618|B
3995|B
1379|B
3351|B
2125|B
3932|B
494|C
2872|B
1582|B
689|C
4055|C
1503|C
3950|B
760|B
2435|C
3401|C
2647|C
3020|C
3607|B
1014|C
556|B
1812|B
893|B
3554|A
2143|B
1986|B
3440|B
2630|D
1760|B
1390|B
818|C
551|B
2147|B
4083|C
2124|C
2156|B
3833|B
2817|C
3586|C
1307|B
4020|B
2319|A
2875|B
1644|B
1184|C
684|B
1670|B
3659|C
2987|B
270|B
4084|C
3749|C
3229|D
1088|C
1370|B
3618|B
1176|B
2797|B
2974|B
1160|D
2217|B
2152|C
1230|B
1395|C
2060|C
2413|B
628|B
1295|C
1002|B
722|C
8|B
3374|B
2362|B
1928|C
119|B
2422|B
428|B
215|B
3312|B
1339|B
1347|B
2844|B
3417|C
3563|B
741|A
2205|C
3894|C
3448|B
756|D
3457|B
3292|B
3121|B
2528|B
490|D
2920|B
973|B
260|B
4069|B
2016|B
1146|B
14|B
859|B
1537|C
1622|B
856|B
1348|B
3876|B
2541|B
891|B
3619|B
315|D
632|A
807|B
4032|C
2524|B
1805|B
2103|B
1914|C
2743|B
243|B
2306|B
3388|B
2385|B
2416|D
2474|B
397|B
2451|B
2136|B
1937|B
3333|C
3203|A
1776|B
1493|C
2754|D
1762|B
3421|B
1623|C
2637|C
1998|C
1097|B
2175|C
2946|B
3437|B
3271|C
1513|C
1823|C
705|B
