2509|C
1238|A
2848|B
923|A
3227|B
611|D
3458|A
2684|C
2832|A
3392|A
1224|B
2090|D
2617|B
1961|A
24|A
1114|B
2008|A
591|C
1446|B
623|C
1798|A
3402|A
3361|D
135|D
2838|A
3891|B
1293|A
2627|C
174|4
2548|B
3811|B
2458|A
1888|C
1662|B
365|B
1257|D
1650|A
1771|A
2746|A
2970|C
819|C
323|D
1952|5
346|6
2778|7
3373|7
302|D
1329|2
2366|A
3551|5
1526|2
1765|A
3038|3
3566|A
1992|9
2824|B
2210|B
1982|8
3955|B
1830|3
1543|D
230|D
1290|9
710|A
3859|B
1884|8
466|D
1475|D
1425|A
3641|B
55|D
2373|B
31|B
1253|D
1902|B
659|A
1449|4
3005|B
1761|D
162|A
4037|B
3926|B
664|A
3254|B
1800|0
716|C
1574|B
3375|7
2850|A
1553|5
1910|B
3877|A
1382|A
2843|D
2515|1
3267|6
2752|5
3434|3
2674|7
2140|D
2237|C
3923|A
3399|B
32|C
2881|8
498|8
2990|9
2176|A
423|B
579|9
79|C
228|C
1968|6
823|A
2874|7
2804|A
2736|D
1413|B
2823|B
2409|D
896|6
1874|D
2646|A
3766|A
539|B
1603|D
2852|D
882|2
1886|C
1038|B
3471|D
225|B
2853|A
2048|B
2447|4
2174|D
1467|A
3746|D
1|A
1187|C
3843|A
2453|B
2887|C
2558|5
4092|A
1217|A
2059|5
915|D
1925|A
206|C
159|9
3324|B
88|B
309|C
118|A
321|1
3484|D
2846|D
42|B
2681|8
2477|B
1342|C
2006|B
1081|B
2982|8
2604|B
1699|9
3487|C
2594|B
1867|B
2341|B
1155|B
2829|B
4099|9
2588|D
3705|B
766|B
799|9
2434|D
3318|D
3334|A
1993|D
1079|A
1080|D
2038|3
1694|B
112|D
287|7
3725|B
3872|B
2278|B
3583|C
2232|B
251|A
2442|4
2430|3
1558|5
2791|B
3184|C
829|A
3911|B
2412|1
383|3
2740|C
695|A
3483|B
2631|3
250|A
472|A
3820|D
3824|D
3055|A
3128|C
2468|B
3383|8
1400|D
1000|A
2405|D
348|A
2622|C
872|A
3931|3
3972|D
3615|B
23||
3741|D
1737|B
3935|C
278|D
2585|B
1594|D
2162|C
3220|D
1611|D
4065|C
3598|B
719|B
1631|3
3565|B
3603|B
1310|C
213|3
1041|A
2342|4
2688|8
3599|9
515|A
2992|C
1618|A
3995|B
1379|7
3351|C
2125|D
3932|B
494|B
2872|A
1582|B
689|B
4055|C
1503|C
3950|B
760|B
2435|A
3401|B
3020|C
3607|D
1014|B
556|A
893|A
3554|A
2143|A
1986|A
3440|B
2630|C
1760|D
1390|9
818|8
551|1
2147|4
2124|B
2156|A
3833|B
2817|C
3586|A
1307|D
4020|B
2319|A
2875|7
1644|C
1184|C
684|B
1670|B
3659|5
2987|B
270|C
4084|A
3749|D
3229|C
1088|C
1370|7
3618|1
1176|A
2797|B
2974|C
1160|6
2217|A
2152|5
1395|C
2060|6
2413|A
628|B
1295|D
1002|0
722|D
8|B
3374|7
2362|B
1928|2
119|9
2422|C
428|B
215|5
3312|B
1339|3
1347|B
2844|D
3417|1
3563|B
741|A
2205|B
3894|9
3448|B
756|6
3457|C
3292|B
3121|2
2528|B
2920|C
973|A
260|D
4069|A
2016|A
14||
859|A
1537|3
1622|C
856|D
1348|B
3876|A
2541|D
891|1
3619|B
315|5
632|A
807|A
4032|D
2524|2
1805|0
2103|A
1914|B
2743|4
243|3
2306|A
3388|B
2385|D
2416|B
397|D
2451|5
2136|3
1937|A
3333|A
3203|B
1776|7
1493|D
2754|D
1762|D
3421|B
1623|2
2637|3
1998|9
1097|9
2175|7
2946|4
3437|3
3271|7
1513|1
1823|2
705|5
1599|A
1628|D
2997|A
1527|B
2647|A
1812|C
4083|B
490|D
1146|D
2950|B
84|A
95|D
2668|C
81|A
895|C
2914|
1501|D
1230|B
2474|D
